Titre;Titre VO;Titre VF;Support;Etat;Heures de jeu;Date de début;Date de fin;Possédé;Date sortie EU;Date sortie US;Date sortie JP;Editeur;Développeur;Note perso;Moyenne des votes;Nombre de votes;Genre 1;Genre 2
Pocket Monsters Diamond (Pokémon Version Diamant);Pocket Monsters Diamond;Pokémon Version Diamant;Nintendo DS;Fini;193;;2007-00-00;POSSEDE;27/07/2007;22/04/2007;28/09/2006;Nintendo;Game Freak;16.0;15.8774;106.0;Aventure;RPG
Pocket Monsters Emerald (Pokémon Version Émeraude);Pocket Monsters Emerald;Pokémon Version Émeraude;GameBoy Advance;Fini;110;;;POSSEDE;21/10/2005;30/04/2005;16/09/2004;Nintendo;Game Freak;15.0;16.8276;87.0;RPG;
Pocket Monsters Pikachu (Pokémon Version Jaune);Pocket Monsters Pikachu;Pokémon Version Jaune;GameBoy;Fini;0;;;POSSEDE;16/06/2000;19/10/1999;12/10/1998;Nintendo;Game Freak;18.0;17.445;200.0;RPG;
Pocket Monsters Pikachu (Pokémon Version Jaune);Pocket Monsters Pikachu;Pokémon Version Jaune;Console Virtuelle;Joué;7;;;POSSEDE;27/02/2016;27/02/2016;27/02/2016;Nintendo;Game Freak;;17.0;18.0;RPG;
Pocket Monsters Heartgold (Pokémon Version Or : HeartGold);Pocket Monsters Heartgold;Pokémon Version Or : HeartGold;Nintendo DS;Fini;31;;;POSSEDE;26/03/2010;14/03/2010;12/09/2012;Nintendo;Game Freak;15.0;16.9136;81.0;Aventure;RPG
Pocket Monsters Kin (Pokémon Version Or);Pocket Monsters Kin;Pokémon Version Or;GameBoy Color;Fini;0;;;POSSEDE;06/04/2001;14/10/2000;21/11/1999;Nintendo;Game Freak;18.0;16.7604;96.0;RPG;
Pocket Monsters Pearl (Pokémon Version Perle);Pocket Monsters Pearl;Pokémon Version Perle;Nintendo DS;Fini;0;;;POSSEDE;27/07/2007;22/04/2007;28/09/2006;Nintendo;Game Freak;15.0;15.9853;68.0;Aventure;RPG
Pocket Monsters Platinum (Pokémon Version Platine);Pocket Monsters Platinum;Pokémon Version Platine;Nintendo DS;Fini;70;;;POSSEDE;22/05/2009;22/03/2009;13/09/2008;Nintendo;Game Freak;15.0;16.3235;102.0;Aventure;RPG
Pocket Monsters Ruby (Pokémon Version Rubis);Pocket Monsters Ruby;Pokémon Version Rubis;GameBoy Advance;Fini;429;;2003-00-00;POSSEDE;25/07/2003;19/03/2003;21/11/2002;Nintendo;Game Freak;18.0;16.9524;84.0;RPG;
Pocket Monsters Sapphire (Pokémon Version Saphir);Pocket Monsters Sapphire;Pokémon Version Saphir;GameBoy Advance;Fini;0;;;POSSEDE;25/07/2003;20/03/2003;21/11/2002;Nintendo;Game Freak;17.0;17.0132;76.0;RPG;
Pocket Monsters Leaf Green (Pokémon Version Vert Feuille);Pocket Monsters Leaf Green;Pokémon Version Vert Feuille;GameBoy Advance;Fini;0;;;POSSEDE;01/10/2004;07/09/2004;29/01/2004;Nintendo;Game Freak;18.0;17.2075;53.0;Aventure;RPG
Pocket Monsters X (Pokémon X);Pocket Monsters X;Pokémon X;Nintendo 3DS;Fini;124;;2013-00-00;POSSEDE;12/10/2013;12/10/2013;12/10/2013;Nintendo;Game Freak;18.0;16.5586;111.0;Action-RPG;Aventure
Layton-ky?uju to Fushigi na Machi (Professeur Layton et l'Étrange Village);Layton-ky?uju to Fushigi na Machi;Professeur Layton et l'Étrange Village;Nintendo DS;Fini;0;;;POSSEDE;07/11/2008;10/02/2008;15/02/2007;Nintendo;Level-5;16.0;16.6;180.0;Action;Réflexion
Red Dead Redemption;Red Dead Redemption;;Xbox 360;Fini;0;;;POSSEDE;21/05/2010;18/05/2010;;Take-Two Interactive;Rockstar Games;18.0;17.4037;109.0;Action/Aventure;
Red Dead Redemption II;Red Dead Redemption II;;PC;En cours;13;;;POSSEDE;05/11/2019;05/11/2019;05/11/2019;Rockstar Games;Rockstar Games;;17.4182;55.0;TPS;
Reigns;Reigns;;PC;En pause;1;;;POSSEDE;11/08/2016;11/08/2016;;Nerial;Devolver Digital;;14.9286;14.0;Autre;Stratégie
Shiritsu Justice Gakuen: LEGION OF HEROES (Rival Schools : United by Fate);Shiritsu Justice Gakuen: LEGION OF HEROES;Rival Schools : United by Fate;Playstation;Fini;0;;;POSSEDE;;30/09/1998;30/07/1997;Capcom;Capcom;16.0;16.6667;9.0;Jeu de combat;
Rocket League;Rocket League;;PC;Fini;51;;;POSSEDE;07/07/2015;07/07/2015;;Psyonix;Psyonix;17.0;16.0667;105.0;Action;Sport 
Rocket League;Rocket League;;Nintendo Switch;En cours;1;;;POSSEDE;14/11/2017;14/11/2017;;Psyonix;Psyonix;;16.24;25.0;Action;Sport 
Rome: Total War;Rome: Total War;;PC;Fini;57;;;POSSEDE;08/10/2004;22/09/2004;26/11/2004;Activision;The Creative Assembly;17.0;17.0;20.0;RTS;Gestion
Ruined King: A League of Legends Story;Ruined King: A League of Legends Story;;PC;En cours;6;;;POSSEDE;16/11/2021;16/11/2021;16/11/2021;Riot Forge;Airship Syndicate;;;;RPG;
Shadow of the Colossus;Shadow of the Colossus;;Playstation 4;En cours;0;;;POSSEDE;07/02/2018;06/02/2018;08/02/2018;Sony Computer Entertainment;Sony;;16.3415;41.0;Action/Aventure;
